island_coord,site_coord,New_name_coord,lat_DD_coord,lon_DD_coord,checking_status,georeferenceProtocol,Obs
noronha,cagarras,Cagarras,-3.808942,-32.390214,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","confirmar localização, cai na terra, em Krajeswki e Floeter 2011 parece ser mais ao norte."
noronha,canal,Canal,-3.817208,-32.390589,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok parece estar correta e bate com Krajeswki e Floeter 2011
noronha,conceicao,Praia_da_Conceicao,-3.839040,-32.414963,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok parece estar correta e bate com Krajeswki e Floeter 2011
noronha,laje_dois_irmaos,Laje_Dois_Irmaos,-3.846539,-32.440569,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok parece estar correta e bate com Krajeswki e Floeter 2011
noronha,ponta_da_sapata,Ponta_da_Sapata,-3.874792,-32.474316,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","parece estar correta, bate com pontos de mergulho, mas precisa de uma confirmação de quem já foi"
noronha,praia_porto,Praia_do_Porto,-3.832913,-32.400867,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok parece estar correta e bate com Krajeswki e Floeter 2011
noronha,raquel,Raquel,-3.834419,-32.394839,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok parece estar correta e bate com Krajeswki e Floeter 2011
noronha,sancho,Praia_do_Sancho,-3.854376,-32.445989,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok parece estar correta e bate com Krajeswki e Floeter 2011
noronha,sueste,Praia_do_Sueste,-3.866840,-32.422785,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok parece estar correta e bate com Krajeswki e Floeter 2011
rocas,ancoras,Ancoras,-3.875019,-33.803309,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
rocas,barretinha,Barretinha,-3.859602,-33.818066,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
rocas,cemiterio,Cemiterio,-3.867712,-33.816626,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
rocas,falsa_barreta,Falsa_Barreta,-3.860510,-33.818934,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
rocas,farol_dois,Farol_Dois,-3.856800,-33.816900,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
rocas,garoupinha,Garoupinha,-3.866954,-33.802144,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","coordenadas estimada longe do atol - parece errada. Lucas Nunes - se não me engano ""garoupinha"" é uma piscina que fica perto do salão, mas certamente as coordenadas no kml estão erradas. Thiago - Censo visual de peixes realizado em 2006, solução colocar uma coordenada central para o atol. Outra alternativa é falar com hudson."
rocas,laguna,Laguna,-3.862211,-33.793786,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","parece estar correta e bate com ""lagoon site"" no paper do longo 2015. Lucas Nunes -  Laguna está correto."
rocas,rocas,Rocas,-3.869000,-33.791900,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","bate com a figura de longo 2015 para o local ""rocas"", parece ser a mesma de ""laguna"". Lucas Nunes -na verdade é só ""rocas"" e esta certo sim, não é a mesma coisa que a laguna (toda parte central do atol), ela fica isolada da laguna na maré baixa."
rocas,piscinas_nove,Piscinas_Nove,-3.866632,-33.802984,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","coordenadas estimada longe do atol - parece errada.   Lucas Nunes -  nunca ouvi falar em uma ""piscina_nove"" e a coordenada está certamente errada. Thiago - Censo visual de peixes realizado em 2006, solução colocar uma coordenada central para o atol. Desloquei um pouco a oeste para não sobrepor a nova coordenada da garoupinha.  Outra alternativa é falar com hudson."
rocas,podes_crer,Podes_Crer,-3.872175,-33.812714,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
rocas,poita_do_zeca,Poita_do_Zeca,-3.857917,-33.820619,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","local fora do atol, parece estar correta a coordenada a noroeste do atol  - confirmar. Lucas Nunes -- poita do zeca, sim está correta"
rocas,salao,Salao,-3.874627,-33.809398,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
rocas,tartarugas,Tartarugas,-3.872723,-33.808854,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
rocas,piscina_das_rocas,Piscina_das_Rocas,-3.868950,-33.791911,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","Thiago - Parece ok, confirmar site."
rocas,zulu,Zulu,-3.872804,-33.798341,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
stpauls_rocks,boia,Boia,0.974470,-29.346554,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","afastado do arquipelago, confirmar localização. Cesar - ""só não sei confirmar a boia de ASPSP só não sei confirmar a Boia. Os demais estão ok. Segundo o Marcos, que já foi várias vezes pra lá, tem dois pontos onde tem pesca, um mais raso que bate com a direção indicada, mas ele não sabe dizer se a distância é essa mesma. Por mim, pode manter;"""
stpauls_rocks,cabeco_tartaruga,Cabeco_Tartaruga,0.915946,-29.345511,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","junto ao arquipelago, ao sul, confirmar localização. Ok Cesar"
stpauls_rocks,enseada,Enseada,0.917081,-29.345528,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","parece estar correta, confirmar localização. Ok Cesar"
stpauls_rocks,naufragio,Naufragio,0.915222,-29.346190,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","ao sul, parece estar correta, confirmar localização. Ok Cesar"
stpauls_rocks,sao_pedro_fora,Sao Pedro _Fora,0.917904,-29.345011,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","ao norte, confirmar localização. Ok Cesar"
trindade,cabritas,Praia_das_Cabritas,-20.490393,-29.332129,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
trindade,calheta,Praia_da_Calheta,-20.506512,-29.312430,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
trindade,crista_do_galo,Crista_do_Galo,-20.488147,-29.334443,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","ok Maarina ""é uma piscina natuiral e fica em terra mesmo"""
trindade,eme,Praia_do_Eme,-20.515618,-29.337928,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
trindade,farilhoes,Farilhoes,-20.522423,-29.331352,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","ok Lucas Nunes - ""- farilhões: está bem longe de onde tem as colônias marcadas: (lat -20.522423 | long: -29.331352)"""
trindade,farol,Farol,-20.498030,-29.321447,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
trindade,lixo,Lixo,-20.524679,-29.328228,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
trindade,martin_vaz_oeste,Martin_Vaz_Oeste,-20.474061,-28.856821,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
trindade,monumento,Monumento,-20.500321,-29.345222,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
trindade,orelhas,Orelhas,-20.492884,-29.344021,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
trindade,parcel,Parcel,-20.506451,-29.347291,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","Seria o Parcel da Racha na figura? confirmar. Lucas Nunes -  Não faço ideia do que é ""parcel da racha"" e o ponto na racha (onde estão as colonias de coral marcadas) é bem mais próximo das pedras do que está sinalizado no kml (lat: -20.506451 | long: -29.347291). "
trindade,paredao,Paredao,-20.527171,-29.305097,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","Coordendas de Tunel parecidas com paredão, confirmar.Pelas coordenadas parace ser bem príximo de tunel, mas acredito que seja outro local pelas coordendas originais. Marina ""ok está no lugar certo"" "
trindade,ponta_norte,Ponta_Norte,-20.489200,-29.339223,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok lucas Nunes -  ponta norte: coordenadas são muito mais próximas da ilha (lat:-20.489200 | long: -29.339223)
trindade,racha,Racha,-20.505467,-29.347639,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
trindade,shing,Shing,-20.502774,-29.318457,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",ok
trindade,tartarugas_trindade,Tartarugas_Trindade,-20.514895,-29.302710,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","Seria Praia das Tartarugas, confirmar. Lucas Nunes - -Tartarugas é um pouco complicado porque o recife é bem longo, mas eu fiz os censos mais a oeste do que está marcado no kml (lat: -20.514895 | long: -29.302710)."
trindade,tunel,Tunel,-20.528760,-29.301620,ok,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites","Tunel parece mesmo local de paredão, confirmar. Observação -  No mapa há a presença de um tunel em terra que pode ser a referência para a localidade. Recuperei a coordenada, formatei e corrigi para ficar dentro da água."
,,,,,,,
,,,,,,,
,,,,,,,
